ID,xCoord,yCoord
1603,2800,3408
0328,2519,2266
0029,2330,2846
1211,2846,2330
1313,3408,2800
0765,2800,3408
0417,2650,2330
0254,2846,2330
0351,2846,2330
0070,2846,2330
1860,2428,2330
0316,2800,3408
0628,2846,2330
1170,2330,2369
1112,2729,2330
0928,2846,2330
1530,2846,2330
0795,2800,3408
1579,2846,2330
1940,2846,2330
1769,2846,2330
0616,2930,2744
1029,2947,2733
1615,3408,2800
1031,4280,3520
0985,3408,3272
1759,2330,2647
1483,2915,2489
0416,2768,2330
0949,2870,2800
0496,2038,3000
0527,2330,2846
0450,2330,2611
0500,2846,2330
1402,2846,2330
1490,3000,2372
1980,2979,2530
1828,2846,2330
1233,2846,2330
0407,2846,2330
1303,2846,2330
0177,2846,2330
1088,3408,2800
0069,2846,2330
0701,2934,3001
0530,2846,2330
1521,2717,2281
1338,3408,2800
1011,2846,2330
1187,2330,2641
0193,3408,2800
1650,2846,2330
0073,2846,2330
1365,3408,2800
0372,2979,2509
0396,2846,2330
0736,2330,2846
0726,2846,2330
1164,2846,2330
1189,2846,2330
0201,2846,2330
1078,2846,2330
1445,2846,2330
1652,2846,2253
0349,2846,2330
1508,2800,3408
1748,2846,2330
0493,2846,2330
0441,2368,2864
1468,2846,2330
0516,2330,2623
0166,2846,2330
1960,2846,2330
1161,2800,2933
0506,2944,2106
0194,2846,2330
1157,2846,2330
1407,2800,3408
1097,1816,2596
1080,2846,2330
1236,2846,2330
1258,2846,2330
0648,2846,2330
0374,2982,2504
0355,2846,2330
0738,2987,2994
0162,2975,2335
0523,3408,2495
0082,2846,2330
0531,2846,2330
1507,3408,2800
0847,2790,2330
0155,2330,2846
0411,2201,2846
1909,2846,2079
0023,2846,2330
1780,3408,2800
1996,3304,2800
0644,2846,2330
0798,3103,2800
1344,2846,2272
1999,2846,2330
1443,2846,2330
0124,2846,1929
0551,2800,3408
0163,2330,2846
1321,2846,2330
0931,2846,2181
1948,2846,2330
1165,2650,2143
0631,2846,2330
0326,2330,2846
1470,2846,2153
0915,2979,2590
0079,2846,2330
0762,2417,1703
1263,3408,2800
0670,2846,2330
1177,2846,2330
0621,2846,2330
0593,2372,3000
1355,2843,2160
1113,2755,2182
1701,2586,2011
0581,2591,3368
1718,2846,2330
0197,2330,2551
0778,2199,2854
0932,2846,2062
1735,2330,2599
0105,3408,2695
0566,3408,2800
0174,2846,2330
0010,2330,2846
0844,3408,2800
0306,2846,2330
0858,3408,2800
0903,2846,2330
0543,2330,2846
1459,2846,2330
1567,2846,2330
1669,2846,2036
0976,2846,2330
0562,2923,2510
1231,2750,2062
0565,3174,2800
0122,2800,3157
1454,2058,2501
0714,3408,2266
0650,2846,2330
0074,2846,2330
0313,3408,2800
0234,3408,2800
0862,2686,2800
0742,3408,2800
1972,2330,2846
0157,2846,2330
0537,2152,2602
1337,2578,2330
1330,2846,2330
1305,2846,2330
0093,2330,2482
0934,3408,2800
1398,2503,2330
1645,2846,2330
1886,3408,2800
0990,2846,2330
0610,2846,2330
1541,2330,2484
0520,2330,2846
1260,2846,2330
1846,2739,2101
1152,2846,2330
0888,3408,2800
0248,2793,2330
0986,2330,2413
0410,2420,2172
0759,3384,2800
1464,3408,2800
0721,2846,2330
1469,2823,2330
1778,3408,2800
1859,3287,2800
0659,2846,2330
1159,2991,2372
1227,2993,2516
0579,2030,2494
1455,2330,2522
1682,2800,3239
0819,2846,2330
0846,3408,2800
0740,3000,2372
0245,2330,2846
1874,2846,2330
0942,2846,2330
1138,3408,2800
1081,2800,3408
1880,2987,2758
0222,2344,3000
1794,2330,2846
0838,2870,2575
0559,2330,2846
0545,2846,2330
0232,2846,2330
0048,2844,2240
1173,2800,3408
1050,3408,2179
1456,3408,2800
1919,3408,2800
0454,2522,2800
1562,2565,2921
1561,3353,2800
0262,3408,2800
0018,2330,2846
0968,2846,2330
0241,2535,2941
0446,2846,2330
1764,3055,2800
1871,2992,2476
0955,2846,2330
1202,2846,2031
0156,3408,2464
0138,2330,2846
1613,2846,2330
1715,2846,2330
0763,2846,2295
0013,2257,2588
0264,2682,2145
0317,3408,2800
1564,2958,2698
1426,2577,1961
1547,2330,2846
1774,3408,2800
0745,2846,2330
1120,2943,2372
0394,3408,2800
1016,2846,2330
0632,2846,2202
0001,2330,2846
0453,2974,2508
0535,2846,2330
1892,2846,2330
1675,2846,2330
1503,2330,2846
1249,2846,2330
1664,2571,2106
0884,2846,2330
0781,2330,2597
0975,2800,3408
0766,2979,2523
0481,2846,2330
1981,3408,2800
0823,2330,2846
0564,2846,2330
1414,2846,2330
1551,2846,2330
0693,2846,2330
1827,2846,2330
1228,3199,2800
0200,2846,2330
0783,3408,2800
1845,1624,3049
1688,2846,2330
0770,2846,2330
0179,2915,2372
1543,2846,2330
1583,3255,2800
1696,2981,2513
0040,2846,2330
1100,2330,2602
1471,2846,2330
1192,2846,2330
1205,3408,2418
1200,2330,2266
1325,2846,2330
1384,3408,2800
1515,2846,2330
1245,3408,2800
1283,2330,2846
1272,2846,2330
0561,2986,2963
0434,2372,2774
1854,2330,2846
0824,3408,2800
1808,2229,2692
0799,2800,3408
0517,2330,2846
0041,2997,2996
1226,2846,2330
1316,2846,2330
0624,2846,2330
0115,2846,2330
0840,2846,2330
1056,2233,2735
0671,2846,2330
1513,2330,2846
0216,2330,2846
0314,2978,2812
1261,2800,3408
0480,2979,2514
0205,3408,2800
1708,2988,2883
0556,2846,2330
0140,2535,2330
1577,3239,2800
1282,2846,2330
0436,3408,2800
1093,2330,2846
1223,3408,2800
1728,2889,2800
0634,2846,2330
0921,2533,2372
1610,3384,2800
1252,2846,2330
0299,2800,3408
0883,2846,2330
1617,2336,3000
0646,2330,2846
1949,2846,2087
1805,2979,2442
1066,2846,2330
0717,2846,2330
1079,3408,2800
1297,2681,2330
1727,2846,2330
0514,3408,2800
0278,2846,2330
0359,2846,2330
0267,3408,2800
0007,2846,2330
1104,3408,2800
0897,2846,2330
1951,3000,2247
1410,3408,2800
1423,2823,2249
1945,2995,2769
0183,2846,2330
0875,2846,2330
0889,2330,2846
1420,2846,2330
0487,2983,2996
0309,3408,2800
0128,2846,2068
0296,2976,2672
0362,2846,2330
1899,2330,2846
0352,2546,2297
1332,3408,2800
0994,2846,2330
0147,3408,2760
1457,3408,2800
1144,2800,3408
1070,2800,3408
1667,2846,1778
0086,2330,2591
1326,2980,2974
1039,2800,3408
1684,2846,2330
1970,2846,2330
0872,2846,2330
0367,2846,2241
1809,2800,3408
0442,2372,3000
1716,2846,2330
0956,2846,2330
0424,2800,3408
1482,2846,2330
1115,2846,2330
0030,2330,2846
0560,2846,2330
0398,2846,2330
0777,2217,2801
1927,2330,2846
1004,2846,2166
0422,2372,2650
0099,3408,2800
0322,3304,2800
1499,2846,2330
0816,2846,2330
1797,3408,2800
1537,3384,2800
1711,2330,2846
1262,2846,2330
0340,2979,2825
0375,3384,2535
1760,2987,3001
1128,3408,2800
0540,2846,2330
0864,2846,2330
0210,2846,1961
0335,2330,2682
1867,2330,2846
1102,2846,2330
1453,2372,2330
1926,2979,2642
0169,2846,2330
1804,2846,2330
1629,3408,2800
0143,2800,3408
1106,2800,3408
0476,2746,2330
0495,2846,2330
1391,2330,2846
1725,3408,2800
0295,3408,2800
0418,2633,1671
0126,2330,2846
1284,2846,2330
0408,2846,2330
0617,3408,2800
1607,3408,2800
1035,2949,2976
0406,2846,2330
0993,2846,2330
1265,2685,2993
0655,2846,2330
0525,2846,2330
1463,2846,2330
0382,2800,3408
1073,2846,2202
1639,2685,2233
1738,3047,2800
1627,2330,2846
1680,1846,2582
1394,2979,2503
1569,2996,2935
0511,3408,2695
0852,2846,2041
1685,3287,2800
0061,2330,2731
0130,2846,2330
0812,3408,2800
1232,2846,2330
1438,2846,2330
0341,3408,2800
0257,3408,2800
0508,2330,2655
1768,2846,2330
1342,2330,2846
1773,3408,2800
1162,2273,3408
0269,3263,2720
0654,3408,2800
1710,2846,2330
0731,2971,2352
0962,2846,2202
1210,2846,2330
1467,3408,2800
0325,1947,2846
1877,2846,2330
1477,2846,2330
1460,3408,2800
1698,2846,2330
1842,2669,2245
0607,2846,2330
0849,2846,2330
0428,2800,3408
0807,2846,2330
1481,2372,3000
1961,3408,2800
1529,2586,2330
0439,2846,2330
1802,3223,2800
0640,2153,2703
1588,2846,2184
1442,2330,2320
1697,3408,2800
1224,2790,2075
1048,2846,2330
1389,2507,2330
1180,3408,2800
0032,2846,2330
0964,2846,2330
1662,2846,2012
1383,3384,2800
1916,2092,2082
1661,2596,2330
0208,2846,2330
1821,2330,2846
0667,2846,2154
0709,3408,2800
0376,2975,2800
0482,2846,2330
1666,3408,2800
0954,2681,2800
0891,2133,2962
1213,2846,2330
1452,2374,2330
1184,3408,2800
1979,2846,2330
0677,3408,2800
0935,2800,3408
1726,2845,2800
1857,2846,2330
0825,3408,2800
0874,2693,2330
0114,2846,2330
1308,2330,2846
1074,2846,2330
0237,3408,2800
0021,2846,2330
1304,2846,2330
0641,2846,2330
0992,2846,2330
1532,2846,2330
1712,2846,2330
1075,4280,3520
1064,2846,2330
1850,3408,2800
1830,2632,2800
1840,2372,3000
0160,2846,2330
1047,3000,2372
0258,2093,2330
1974,3328,2800
1930,2874,2800
0658,3159,2574
1884,2330,2846
0747,2846,2323
0820,1926,2846
0809,2846,2330
1851,2846,2330
1969,2979,2520
1270,3000,2372
0785,2383,2330
1065,2365,2330
0973,2846,2330
0715,2846,2330
0089,2330,2846
1183,3001,3001
1042,3408,2800
1944,3408,2800
0009,2846,2330
1608,2846,2330
1565,3408,2800
1913,2846,2330
0231,2330,2846
1118,1551,2878
0996,2846,2330
0053,2846,2330
0528,2846,2330
1493,3408,2800
0574,2846,2330
1002,2330,2574
0151,2846,2330
0886,2641,2800
1003,2330,2293
1040,2330,2846
0136,3408,2800
1502,2330,2637
0279,2432,2162
0404,2800,3408
0212,2801,2225
0635,2846,2330
0803,2330,2846
2001,2330,2389
1392,2689,3303
1188,2846,2330
1912,3384,2800
1575,2352,3000
0427,2330,2846
0752,2330,2846
0902,2846,2330
0144,3408,2800
1862,3408,2800
1777,2846,2330
1328,2846,2330
2000,2987,2534
0674,2846,2330
0117,2846,2330
0589,2846,2330
0710,3408,2800
1234,2846,2330
1433,2846,2330
0196,2846,2330
1756,2800,3408
1057,3408,2800
1736,2372,3000
0724,3408,2800
1171,2212,2550
0369,2800,3408
0620,2846,2330
1253,2984,2988
0192,3408,2800
1382,2846,2330
1829,3408,2800
0133,3408,2800
1375,2500,2048
0505,2846,2330
0835,2800,3408
1219,2846,2330
0912,2846,2330
1663,2800,3408
0096,2500,2048
1207,2330,2707
1041,3408,2800
1868,2488,2800
1032,4280,3520
1902,2846,2330
1371,2846,2330
1133,2639,3183
0202,2330,2846
0207,2846,2330
0148,2778,2218
1397,2590,2099
0011,2330,2846
2002,3264,2387
1103,3015,2800
1357,2199,3009
0725,2330,2288
1572,3408,2800
0638,3000,2372
1678,2846,2330
0320,3001,2991
1424,2846,2330
0987,2330,2846
0900,2846,2330
0758,2846,2330
0228,2048,2500
1127,2846,2330
1800,3408,2800
1484,2504,2482
1427,3408,2800
0941,2800,3408
1012,2846,2330
0584,3408,2800
1214,2846,2330
0739,3408,2800
0625,2846,2330
0090,2330,2846
0334,2800,3408
1364,2846,2330
0463,2846,2330
0913,2349,2970
1796,2915,2800
0959,2846,2330
0575,2846,2330
0146,2846,2330
1208,3384,2776
0588,2846,2330
1186,3408,2800
1396,3001,2622
1819,2923,2372
0153,2499,2330
1905,2895,2776
0302,2846,2330
0571,3408,2800
